Data Periods,Mode of Travel,Zone ID,Zone Name,Zone Is Pass-Through,Zone Direction (degrees),Zone is Bi-Direction,Year-Month,Day Type,Day Part,Average Daily Spot Traffic (StL Volume),Avg Spot Speed (mph),Free Flow Speed (mph),Free Flow Factor,5th Speed Percentile,75th Speed Percentile,85th Speed Percentile,95th Speed Percentile
"Jan 01, 2019 - Jun 01, 2019",All Vehicles - StL All Vehicles Volume,,Altura Street,yes,269,yes,2019-01,0: All Days (M-Su),0: All Day (12am-12am),937,17,22.773,0.763,7.000,21.000,23.000,27.000
"Jan 01, 2019 - Jun 01, 2019",All Vehicles - StL All Vehicles Volume,,Altura Street,yes,269,yes,2019-01,0: All Days (M-Su),1: Early AM (12am-6am),56,15,22.773,0.639,6.000,21.000,21.000,24.000
"Jan 01, 2019 - Jun 01, 2019",All Vehicles - StL All Vehicles Volume,,Altura Street,yes,269,yes,2019-01,0: All Days (M-Su),2: Peak AM (6am-10am),400,19,22.773,0.833,9.000,22.000,24.000,28.000
"Jan 01, 2019 - Jun 01, 2019",All Vehicles - StL All Vehicles Volume,,Altura Street,yes,269,yes,2019-01,0: All Days (M-Su),3: Mid-Day (10am-3pm),187,17,22.773,0.745,7.000,21.000,23.000,27.000
"Jan 01, 2019 - Jun 01, 2019",All Vehicles - StL All Vehicles Volume,,Altura Street,yes,269,yes,2019-01,0: All Days (M-Su),4: Peak PM (3pm-7pm),176,17,22.773,0.738,5.000,20.000,21.000,25.000
"Jan 01, 2019 - Jun 01, 2019",All Vehicles - StL All Vehicles Volume,,Altura Street,yes,269,yes,2019-01,0: All Days (M-Su),5: Late PM (7pm-12am),118,15,22.773,0.676,4.000,23.000,24.000,27.000
"Jan 01, 2019 - Jun 01, 2019",All Vehicles - StL All Vehicles Volume,,Altura Street,yes,269,yes,2019-01,1: Monday (M-M),0: All Day (12am-12am),1132,16,22.773,0.722,6.000,20.000,22.000,26.000
"Jan 01, 2019 - Jun 01, 2019",All Vehicles - StL All Vehicles Volume,,Altura Street,yes,269,yes,2019-01,1: Monday (M-M),1: Early AM (12am-6am),97,16,22.773,0.681,N/A,N/A,N/A,N/A
"Jan 01, 2019 - Jun 01, 2019",All Vehicles - StL All Vehicles Volume,,Altura Street,yes,269,yes,2019-01,1: Monday (M-M),2: Peak AM (6am-10am),561,17,22.773,0.764,6.000,21.000,22.000,27.000
"Jan 01, 2019 - Jun 01, 2019",All Vehicles - StL All Vehicles Volume,,Altura Street,yes,269,yes,2019-01,1: Monday (M-M),3: Mid-Day (10am-3pm),213,16,22.773,0.704,5.000,18.000,20.000,23.000
"Jan 01, 2019 - Jun 01, 2019",All Vehicles - StL All Vehicles Volume,,Altura Street,yes,269,yes,2019-01,1: Monday (M-M),4: Peak PM (3pm-7pm),145,16,22.773,0.712,N/A,N/A,N/A,N/A
"Jan 01, 2019 - Jun 01, 2019",All Vehicles - StL All Vehicles Volume,,Altura Street,yes,269,yes,2019-01,1: Monday (M-M),5: Late PM (7pm-12am),116,14,22.773,0.595,N/A,N/A,N/A,N/A
